product_id_1,product_id_2,product_id_3,product_id_4
0cfde909-ad39-4ca2-97d3-765f6481fd39,578115ba-f510-4cda-b39d-8b015e1c7551,6d5bd5e3-570e-4c9f-9834-4e962ace32f8,d994a688-ab0c-488c-98bd-7ea3fc296a32
3ed5900d-13d9-47c5-86f4-25c4bfdc7488,64c6243d-d07e-403a-90b1-533479eaea3f,64c6243d-d07e-403a-90b1-533479eaea3f,6d5bd5e3-570e-4c9f-9834-4e962ace32f8
6d5bd5e3-570e-4c9f-9834-4e962ace32f8,6d5bd5e3-570e-4c9f-9834-4e962ace32f8,6d5bd5e3-570e-4c9f-9834-4e962ace32f8,bf8aab74-3be5-4547-a5fb-8f98e91bd6ad
0cfde909-ad39-4ca2-97d3-765f6481fd39,38d00211-020f-4b34-8600-14e57b041b39,5e564185-74e1-4c43-bf05-a7c2fcdea8ef,d0fe2ba5-d933-4fc5-9cd4-3b10ac38f5fd
64c6243d-d07e-403a-90b1-533479eaea3f,64c6243d-d07e-403a-90b1-533479eaea3f,6d5bd5e3-570e-4c9f-9834-4e962ace32f8,6d5bd5e3-570e-4c9f-9834-4e962ace32f8
38d00211-020f-4b34-8600-14e57b041b39,5e564185-74e1-4c43-bf05-a7c2fcdea8ef,64c6243d-d07e-403a-90b1-533479eaea3f,64c6243d-d07e-403a-90b1-533479eaea3f
64c6243d-d07e-403a-90b1-533479eaea3f,6d5bd5e3-570e-4c9f-9834-4e962ace32f8,bf8aab74-3be5-4547-a5fb-8f98e91bd6ad,d994a688-ab0c-488c-98bd-7ea3fc296a32
0cfde909-ad39-4ca2-97d3-765f6481fd39,38d00211-020f-4b34-8600-14e57b041b39,38d00211-020f-4b34-8600-14e57b041b39,d994a688-ab0c-488c-98bd-7ea3fc296a32
0cfde909-ad39-4ca2-97d3-765f6481fd39,3ed5900d-13d9-47c5-86f4-25c4bfdc7488,6d5bd5e3-570e-4c9f-9834-4e962ace32f8,6d5bd5e3-570e-4c9f-9834-4e962ace32f8
38d00211-020f-4b34-8600-14e57b041b39,578115ba-f510-4cda-b39d-8b015e1c7551,578115ba-f510-4cda-b39d-8b015e1c7551,5e564185-74e1-4c43-bf05-a7c2fcdea8ef
38d00211-020f-4b34-8600-14e57b041b39,578115ba-f510-4cda-b39d-8b015e1c7551,578115ba-f510-4cda-b39d-8b015e1c7551,bf8aab74-3be5-4547-a5fb-8f98e91bd6ad
578115ba-f510-4cda-b39d-8b015e1c7551,6d5bd5e3-570e-4c9f-9834-4e962ace32f8,bf8aab74-3be5-4547-a5fb-8f98e91bd6ad,d0fe2ba5-d933-4fc5-9cd4-3b10ac38f5fd
578115ba-f510-4cda-b39d-8b015e1c7551,bf8aab74-3be5-4547-a5fb-8f98e91bd6ad,bf8aab74-3be5-4547-a5fb-8f98e91bd6ad,bf8aab74-3be5-4547-a5fb-8f98e91bd6ad
38d00211-020f-4b34-8600-14e57b041b39,38d00211-020f-4b34-8600-14e57b041b39,64c6243d-d07e-403a-90b1-533479eaea3f,6d5bd5e3-570e-4c9f-9834-4e962ace32f8
0cfde909-ad39-4ca2-97d3-765f6481fd39,0cfde909-ad39-4ca2-97d3-765f6481fd39,38d00211-020f-4b34-8600-14e57b041b39,578115ba-f510-4cda-b39d-8b015e1c7551
38d00211-020f-4b34-8600-14e57b041b39,64c6243d-d07e-403a-90b1-533479eaea3f,6d5bd5e3-570e-4c9f-9834-4e962ace32f8,d0fe2ba5-d933-4fc5-9cd4-3b10ac38f5fd
0cfde909-ad39-4ca2-97d3-765f6481fd39,5e564185-74e1-4c43-bf05-a7c2fcdea8ef,64c6243d-d07e-403a-90b1-533479eaea3f,64c6243d-d07e-403a-90b1-533479eaea3f
3ed5900d-13d9-47c5-86f4-25c4bfdc7488,3ed5900d-13d9-47c5-86f4-25c4bfdc7488,64c6243d-d07e-403a-90b1-533479eaea3f,d0fe2ba5-d933-4fc5-9cd4-3b10ac38f5fd
38d00211-020f-4b34-8600-14e57b041b39,38d00211-020f-4b34-8600-14e57b041b39,3ed5900d-13d9-47c5-86f4-25c4bfdc7488,578115ba-f510-4cda-b39d-8b015e1c7551
0cfde909-ad39-4ca2-97d3-765f6481fd39,5e564185-74e1-4c43-bf05-a7c2fcdea8ef,bf8aab74-3be5-4547-a5fb-8f98e91bd6ad,bf8aab74-3be5-4547-a5fb-8f98e91bd6ad
3ed5900d-13d9-47c5-86f4-25c4bfdc7488,578115ba-f510-4cda-b39d-8b015e1c7551,578115ba-f510-4cda-b39d-8b015e1c7551,d994a688-ab0c-488c-98bd-7ea3fc296a32
578115ba-f510-4cda-b39d-8b015e1c7551,5e564185-74e1-4c43-bf05-a7c2fcdea8ef,64c6243d-d07e-403a-90b1-533479eaea3f,64c6243d-d07e-403a-90b1-533479eaea3f
0cfde909-ad39-4ca2-97d3-765f6481fd39,0cfde909-ad39-4ca2-97d3-765f6481fd39,38d00211-020f-4b34-8600-14e57b041b39,578115ba-f510-4cda-b39d-8b015e1c7551
3ed5900d-13d9-47c5-86f4-25c4bfdc7488,3ed5900d-13d9-47c5-86f4-25c4bfdc7488,6d5bd5e3-570e-4c9f-9834-4e962ace32f8,bf8aab74-3be5-4547-a5fb-8f98e91bd6ad
0cfde909-ad39-4ca2-97d3-765f6481fd39,5e564185-74e1-4c43-bf05-a7c2fcdea8ef,5e564185-74e1-4c43-bf05-a7c2fcdea8ef,6d5bd5e3-570e-4c9f-9834-4e962ace32f8
d0fe2ba5-d933-4fc5-9cd4-3b10ac38f5fd,d0fe2ba5-d933-4fc5-9cd4-3b10ac38f5fd,d994a688-ab0c-488c-98bd-7ea3fc296a32,d994a688-ab0c-488c-98bd-7ea3fc296a32
38d00211-020f-4b34-8600-14e57b041b39,578115ba-f510-4cda-b39d-8b015e1c7551,5e564185-74e1-4c43-bf05-a7c2fcdea8ef,6d5bd5e3-570e-4c9f-9834-4e962ace32f8
38d00211-020f-4b34-8600-14e57b041b39,64c6243d-d07e-403a-90b1-533479eaea3f,6d5bd5e3-570e-4c9f-9834-4e962ace32f8,bf8aab74-3be5-4547-a5fb-8f98e91bd6ad
0cfde909-ad39-4ca2-97d3-765f6481fd39,0cfde909-ad39-4ca2-97d3-765f6481fd39,3ed5900d-13d9-47c5-86f4-25c4bfdc7488,5e564185-74e1-4c43-bf05-a7c2fcdea8ef
38d00211-020f-4b34-8600-14e57b041b39,578115ba-f510-4cda-b39d-8b015e1c7551,578115ba-f510-4cda-b39d-8b015e1c7551,bf8aab74-3be5-4547-a5fb-8f98e91bd6ad
38d00211-020f-4b34-8600-14e57b041b39,578115ba-f510-4cda-b39d-8b015e1c7551,5e564185-74e1-4c43-bf05-a7c2fcdea8ef,5e564185-74e1-4c43-bf05-a7c2fcdea8ef
0cfde909-ad39-4ca2-97d3-765f6481fd39,3ed5900d-13d9-47c5-86f4-25c4bfdc7488,5e564185-74e1-4c43-bf05-a7c2fcdea8ef,d994a688-ab0c-488c-98bd-7ea3fc296a32
3ed5900d-13d9-47c5-86f4-25c4bfdc7488,5e564185-74e1-4c43-bf05-a7c2fcdea8ef,64c6243d-d07e-403a-90b1-533479eaea3f,64c6243d-d07e-403a-90b1-533479eaea3f
